start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight,dataset,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_present
4/2/18 22:09,7.0,rat,4/2/18 21:58,4/2/18 22:09,662.0,1.0,0.0,2,4/2/18 19:01,3.138055556,0,rat,0.0,dataset1,04/02/2018 22:09:00,,,,,
2017-12-27 21:13:00,,,,,,,,0,,4.5,0,,,dataset2,27/12/2017 21:13:00,25.0,3.0,0.0,0.0,0.0
2017-12-31 23:16:00,,,,,,,,0,,6.5,0,,,dataset2,31/12/2017 23:16:00,28.0,2.483333333,0.0,0.0,0.0
2018-01-28 00:09:00,,,,,,,,1,,7.0,0,,,dataset2,28/01/2018 00:09:00,62.0,2.3,0.0,0.0,0.0
2018-02-12 06:53:00,,,,,,,,2,,13.5,0,,,dataset2,12/02/2018 06:53:00,2.0,0.0,1.416666667,1.0,1.0
2018-01-28 04:39:00,,,,,,,,1,,11.5,0,,,dataset2,28/01/2018 04:39:00,9.0,1.0,0.0,0.0,0.0
2018-02-02 22:15:00,,,,,,,,2,,5.0,0,,,dataset2,02/02/2018 22:15:00,60.0,0.602739726,0.133333333,1.0,1.0
2018-02-16 23:27:00,,,,,,,,2,,6.0,0,,,dataset2,16/02/2018 23:27:00,41.0,2.3,0.0,0.0,0.0
2018-02-19 21:30:00,,,,,,,,2,,4.0,0,,,dataset2,19/02/2018 21:30:00,90.0,3.0,0.0,0.0,0.0
2018-02-19 22:30:00,,,,,,,,2,,5.0,0,,,dataset2,19/02/2018 22:30:00,81.0,3.0,0.0,0.0,0.0
2018-02-17 05:57:00,,,,,,,,2,,12.5,0,,,dataset2,17/02/2018 05:57:00,2.0,0.0,0.0,0.0,0.0
5/1/18 00:07,4.0,bat,5/1/18 00:06,5/1/18 00:09,50.0,1.0,0.0,1,30/4/18 19:20,4.783333333,0,bat_fight,1.0,dataset1,05/01/2018 00:07:00,,,,,
2018-01-08 23:52:00,,,,,,,,1,,7.0,0,,,dataset2,08/01/2018 23:52:00,51.0,2.040582726,0.0,0.0,0.0
26/12/17 21:24,15.0,rat,26/12/17 21:22,26/12/17 21:27,88.0,1.0,0.0,0,26/12/17 16:43,4.684444444,0,rat,0.0,dataset1,26/12/2017 21:24:00,,,,,
2018-02-19 18:30:00,,,,,,,,2,,1.0,0,,,dataset2,19/02/2018 18:30:00,22.0,4.0,0.0,0.0,0.0
2018-01-08 18:22:00,,,,,,,,1,,1.5,0,,,dataset2,08/01/2018 18:22:00,12.0,4.0,0.0,0.0,0.0
2018-02-12 17:54:00,,,,,,,,2,,0.5,0,,,dataset2,12/02/2018 17:54:00,6.0,4.0,0.0,0.0,0.0
2018-01-03 22:48:00,,,,,,,,1,,6.0,0,,,dataset2,03/01/2018 22:48:00,40.0,2.9243604,0.0,0.0,0.0
2018-01-01 04:46:00,,,,,,,,1,,12.0,0,,,dataset2,01/01/2018 04:46:00,27.0,1.0,0.0,0.0,0.0
2017-12-29 20:15:00,,,,,,,,0,,3.5,0,,,dataset2,29/12/2017 20:15:00,15.0,3.0,0.0,0.0,0.0
2018-02-01 22:14:00,,,,,,,,2,,5.0,0,,,dataset2,01/02/2018 22:14:00,81.0,2.524590164,0.0,0.0,0.0
2017-12-26 23:13:00,,,,,,,,0,,6.5,0,,,dataset2,26/12/2017 23:13:00,30.0,1.55,0.0,0.0,0.0
2018-01-09 22:23:00,,,,,,,,1,,5.5,0,,,dataset2,09/01/2018 22:23:00,30.0,4.0,0.0,0.0,0.0
2018-02-11 19:23:00,,,,,,,,2,,2.0,0,,,dataset2,11/02/2018 19:23:00,43.0,3.436363636,0.0,0.0,0.0
2018-02-16 03:56:00,,,,,,,,2,,10.5,0,,,dataset2,16/02/2018 03:56:00,10.0,1.0,0.0,0.0,0.0
2/11/18 01:57,24.0,rat,2/11/18 01:52,2/11/18 01:58,286.0,1.0,0.0,2,2/10/18 17:22,8.594722222,0,rat,0.0,dataset1,02/11/2018 01:57:00,,,,,
2018-01-09 02:22:00,,,,,,,,1,,9.5,0,,,dataset2,09/01/2018 02:22:00,27.0,1.383333333,0.0,0.0,0.0
2018-01-28 18:10:00,,,,,,,,1,,1.0,0,,,dataset2,28/01/2018 18:10:00,18.0,4.0,0.0,0.0,0.0
5/2/18 00:47,2.0,pick,5/2/18 00:46,5/2/18 00:58,10.0,0.0,1.0,2,5/1/18 19:21,5.434166667,0,pick,0.0,dataset1,05/02/2018 00:47:00,,,,,
2018-02-15 02:26:00,,,,,,,,2,,9.0,0,,,dataset2,15/02/2018 02:26:00,36.0,0.0,0.583333333,2.0,1.0
2018-01-02 02:47:00,,,,,,,,1,,10.0,0,,,dataset2,02/01/2018 02:47:00,32.0,0.0,0.0,0.0,0.0
2018-02-08 05:49:00,,,,,,,,2,,12.5,0,,,dataset2,08/02/2018 05:49:00,1.0,0.0,0.0,0.0,0.0
2017-12-29 17:15:00,,,,,,,,0,,0.5,0,,,dataset2,29/12/2017 17:15:00,14.0,4.0,0.0,0.0,0.0
2/11/18 01:55,3.0,rat,2/11/18 01:52,2/11/18 01:58,132.0,1.0,0.0,2,2/10/18 17:22,8.551944444,0,rat,0.0,dataset1,02/11/2018 01:55:00,,,,,
28/12/17 19:36,1.0,fast,28/12/17 19:35,28/12/17 19:46,14.0,0.0,1.0,0,28/12/17 16:44,2.868888889,0,fast,0.0,dataset1,28/12/2017 19:36:00,,,,,
2/8/18 02:08,4.0,rat,2/8/18 02:05,2/8/18 02:09,200.0,1.0,0.0,2,2/7/18 17:19,8.831944444,0,rat,0.0,dataset1,02/08/2018 02:08:00,,,,,
