start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight,dataset,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_present
2017-12-31 20:46:00,,,,,,,,0,,4.0,0,,,dataset2,31/12/2017 20:46,24.0,3.0,0.0,0.0,0.0
2017-12-31 21:16:00,,,,,,,,0,,4.5,0,,,dataset2,31/12/2017 21:16,38.0,3.0,0.0,0.0,0.0
2017-12-31 21:46:00,,,,,,,,0,,5.0,0,,,dataset2,31/12/2017 21:46,20.0,3.0,0.0,0.0,0.0
2017-12-31 22:16:00,,,,,,,,0,,5.5,0,,,dataset2,31/12/2017 22:16,17.0,3.0,0.0,0.0,0.0
2017-12-31 22:46:00,,,,,,,,0,,6.0,0,,,dataset2,31/12/2017 22:46,18.0,2.92688172,0.0,0.0,0.0
2017-12-31 23:16:00,,,,,,,,0,,6.5,0,,,dataset2,31/12/2017 23:16,28.0,2.483333333,0.0,0.0,0.0
2017-12-31 20:16:00,,,,,,,,0,,3.5,0,,,dataset2,31/12/2017 20:16,29.0,3.0,0.0,0.0,0.0
2017-12-30 20:15:00,,,,,,,,0,,3.5,0,,,dataset2,30/12/2017 20:15,33.0,3.0,0.0,0.0,0.0
2017-12-31 05:15:00,,,,,,,,0,,12.5,0,,,dataset2,31/12/2017 5:15,6.0,1.0,0.0,0.0,0.0
2017-12-31 04:15:00,,,,,,,,0,,11.5,0,,,dataset2,31/12/2017 4:15,8.0,1.0,0.0,0.0,0.0
2017-12-30 21:15:00,,,,,,,,0,,4.5,0,,,dataset2,30/12/2017 21:15,25.0,3.0,0.0,0.0,0.0
2017-12-30 21:45:00,,,,,,,,0,,5.0,0,,,dataset2,30/12/2017 21:45,10.0,3.0,0.0,0.0,0.0
2017-12-30 22:15:00,,,,,,,,0,,5.5,0,,,dataset2,30/12/2017 22:15,64.0,3.0,0.0,0.0,0.0
2017-12-30 22:45:00,,,,,,,,0,,6.0,0,,,dataset2,30/12/2017 22:45,41.0,3.0,0.0,0.0,0.0
2017-12-30 23:15:00,,,,,,,,0,,6.5,0,,,dataset2,30/12/2017 23:15,5.0,3.0,0.0,0.0,0.0
2017-12-30 23:45:00,,,,,,,,0,,7.0,0,,,dataset2,30/12/2017 23:45,31.0,2.943548387,0.0,0.0,0.0
2017-12-31 04:45:00,,,,,,,,0,,12.0,0,,,dataset2,31/12/2017 4:45,12.0,1.0,0.0,0.0,0.0
2017-12-31 00:15:00,,,,,,,,0,,7.5,0,,,dataset2,31/12/2017 0:15,45.0,2.516666667,0.0,0.0,0.0
2017-12-31 01:15:00,,,,,,,,0,,8.5,0,,,dataset2,31/12/2017 1:15,53.0,2.0,0.0,0.0,0.0
2017-12-31 01:45:00,,,,,,,,0,,9.0,0,,,dataset2,31/12/2017 1:45,45.0,2.0,0.0,0.0,0.0
2017-12-31 02:15:00,,,,,,,,0,,9.5,0,,,dataset2,31/12/2017 2:15,27.0,2.0,0.0,0.0,0.0
2017-12-31 02:45:00,,,,,,,,0,,10.0,0,,,dataset2,31/12/2017 2:45,24.0,1.957353745,0.0,0.0,0.0
2017-12-31 03:15:00,,,,,,,,0,,10.5,0,,,dataset2,31/12/2017 3:15,26.0,1.542372881,0.0,0.0,0.0
2017-12-31 03:45:00,,,,,,,,0,,11.0,0,,,dataset2,31/12/2017 3:45,17.0,1.083652269,0.0,0.0,0.0
2017-12-31 00:45:00,,,,,,,,0,,8.0,0,,,dataset2,31/12/2017 0:45,42.0,2.07311828,0.0,0.0,0.0
2017-12-31 23:46:00,,,,,,,,0,,7.0,0,,,dataset2,31/12/2017 23:46,45.0,2.056451613,0.0,0.0,0.0
2017-12-29 04:44:00,,,,,,,,0,,12.0,0,,,dataset2,29/12/2017 4:44,6.0,0.0,0.0,0.0,0.0
2017-12-29 03:44:00,,,,,,,,0,,11.0,0,,,dataset2,29/12/2017 3:44,18.0,0.15625,0.9,1.0,1.0
2017-12-27 02:43:00,,,,,,,,0,,10.0,0,,,dataset2,27/12/2017 2:43,15.0,0.0,0.0,0.0,0.0
2017-12-27 03:13:00,,,,,,,,0,,10.5,0,,,dataset2,27/12/2017 3:13,14.0,0.0,0.0,0.0,0.0
2017-12-27 03:43:00,,,,,,,,0,,11.0,0,,,dataset2,27/12/2017 3:43,13.0,0.0,0.0,0.0,0.0
2017-12-27 16:43:00,,,,,,,,0,,0.0,0,,,dataset2,27/12/2017 16:43,18.0,4.0,0.0,0.0,0.0
2017-12-27 17:13:00,,,,,,,,0,,0.5,0,,,dataset2,27/12/2017 17:13,31.0,4.0,0.0,0.0,0.0
2017-12-27 17:43:00,,,,,,,,0,,1.0,0,,,dataset2,27/12/2017 17:43,35.0,4.0,0.0,0.0,0.0
2017-12-27 02:13:00,,,,,,,,0,,9.5,0,,,dataset2,27/12/2017 2:13,17.0,0.0,0.0,0.0,0.0
2017-12-27 18:13:00,,,,,,,,0,,1.5,0,,,dataset2,27/12/2017 18:13,22.0,4.0,0.0,0.0,0.0
2017-12-27 19:13:00,,,,,,,,0,,2.5,0,,,dataset2,27/12/2017 19:13,30.0,3.566666667,0.0,0.0,0.0
2017-12-27 19:43:00,,,,,,,,0,,3.0,0,,,dataset2,27/12/2017 19:43,73.0,3.102150538,0.0,0.0,0.0
2017-12-27 20:13:00,,,,,,,,0,,3.5,0,,,dataset2,27/12/2017 20:13,67.0,3.0,0.0,0.0,0.0
2017-12-27 20:43:00,,,,,,,,0,,4.0,0,,,dataset2,27/12/2017 20:43,2.0,3.0,0.0,0.0,0.0
2017-12-27 21:13:00,,,,,,,,0,,4.5,0,,,dataset2,27/12/2017 21:13,25.0,3.0,0.0,0.0,0.0
2017-12-27 21:43:00,,,,,,,,0,,5.0,0,,,dataset2,27/12/2017 21:43,48.0,2.970430108,0.0,0.0,0.0
2017-12-27 18:43:00,,,,,,,,0,,2.0,0,,,dataset2,27/12/2017 18:43,24.0,3.964516129,0.0,0.0,0.0
2017-12-27 22:13:00,,,,,,,,0,,5.5,0,,,dataset2,27/12/2017 22:13,52.0,2.583333333,0.0,0.0,0.0
2017-12-27 01:43:00,,,,,,,,0,,9.0,0,,,dataset2,27/12/2017 1:43,13.0,0.0,0.016666667,1.0,1.0
2017-12-27 00:43:00,,,,,,,,0,,8.0,0,,,dataset2,27/12/2017 0:43,26.0,0.144067797,0.0,0.0,0.0
2017-12-26 17:43:00,,,,,,,,0,,1.0,0,,,dataset2,26/12/2017 17:43,71.0,4.0,0.0,0.0,0.0
2017-12-26 18:13:00,,,,,,,,0,,1.5,0,,,dataset2,26/12/2017 18:13,44.0,3.753856942,0.0,0.0,0.0
2017-12-26 18:43:00,,,,,,,,0,,2.0,0,,,dataset2,26/12/2017 18:43,44.0,3.147265077,0.0,0.0,0.0
2017-12-26 19:13:00,,,,,,,,0,,2.5,0,,,dataset2,26/12/2017 19:13,41.0,3.0,0.0,0.0,0.0
2017-12-26 19:43:00,,,,,,,,0,,3.0,0,,,dataset2,26/12/2017 19:43,54.0,3.0,0.0,0.0,0.0
2017-12-26 20:13:00,,,,,,,,0,,3.5,0,,,dataset2,26/12/2017 20:13,32.0,3.0,0.0,0.0,0.0
2017-12-27 01:13:00,,,,,,,,0,,8.5,0,,,dataset2,27/12/2017 1:13,16.0,0.0,6.683333333,1.0,1.0
2017-12-26 20:43:00,,,,,,,,0,,4.0,0,,,dataset2,26/12/2017 20:43,51.0,2.968873797,1.283333333,2.0,1.0
2017-12-26 21:43:00,,,,,,,,0,,5.0,0,,,dataset2,26/12/2017 21:43,47.0,2.086587436,7.9,1.0,1.0
2017-12-26 22:13:00,,,,,,,,0,,5.5,0,,,dataset2,26/12/2017 22:13,75.0,2.0,0.133333333,1.0,1.0
2017-12-26 22:43:00,,,,,,,,0,,6.0,0,,,dataset2,26/12/2017 22:43,45.0,1.958064516,0.0,0.0,0.0
2017-12-26 23:13:00,,,,,,,,0,,6.5,0,,,dataset2,26/12/2017 23:13,30.0,1.55,0.0,0.0,0.0
