start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight
27/4/18 03:23,0.042707344,rat,27/4/18 03:22,27/4/18 03:25,17,1,0,4,26/4/18 19:17,8.101388889,1,rat_and_bat,0
27/4/18 03:23,13,pick,27/4/18 03:22,27/4/18 03:25,20,0,1,4,26/4/18 19:17,8.102222222,1,pick,0
27/4/18 03:23,0.043905767,rat,27/4/18 03:22,27/4/18 03:25,33,1,0,4,26/4/18 19:17,8.105833333,1,bat_and_rat,0
27/4/18 03:24,1,fast,27/4/18 03:22,27/4/18 03:25,99,0,1,4,26/4/18 19:17,8.124166667,1,fast,0
27/4/18 03:25,0.076705397,rat,27/4/18 03:22,27/4/18 03:25,142,1,0,4,26/4/18 19:17,8.136111111,1,rat,0
27/4/18 03:43,0.040958086,fast,27/4/18 03:43,27/4/18 03:46,38,0,1,4,26/4/18 19:17,8.446388889,1,fast,0
27/4/18 03:45,0.056999457,rat,27/4/18 03:43,27/4/18 03:46,159,1,0,4,26/4/18 19:17,8.48,1,bat_and_rat,0
27/4/18 03:45,0.099530937,bat,27/4/18 03:43,27/4/18 03:46,160,1,0,4,26/4/18 19:17,8.480277778,1,bat,0
27/4/18 03:45,0.014419381,bat,27/4/18 03:43,27/4/18 03:46,168,1,0,4,26/4/18 19:17,8.4825,1,bat,0
27/4/18 04:01,3,pick,27/4/18 03:59,27/4/18 04:01,106,0,1,4,26/4/18 19:17,8.736111111,1,pick,0
27/4/18 04:12,5,pick,27/4/18 04:11,27/4/18 04:16,106,0,1,4,26/4/18 19:17,8.931666667,1,pick,0
27/4/18 04:36,0.040564984,rat,27/4/18 04:28,27/4/18 04:44,445,1,1,4,26/4/18 19:17,9.323055556,1,pick_and_rat,0
26/4/18 22:28,16,bat,26/4/18 22:25,26/4/18 22:36,183,1,1,4,26/4/18 19:17,3.194444444,1,bat_and_pick,0
26/4/18 22:33,1,other,26/4/18 22:25,26/4/18 22:36,479,0,0,4,26/4/18 19:17,3.276666667,1,nan,0
26/4/18 23:05,0.044489486,fast,26/4/18 23:04,26/4/18 23:09,26,0,1,4,26/4/18 19:17,3.806111111,1,fast,0
26/4/18 23:05,2,rat,26/4/18 23:04,26/4/18 23:09,34,1,0,4,26/4/18 19:17,3.808333333,1,fight_rat,1
27/4/18 02:15,54,pick,27/4/18 02:10,27/4/18 02:20,278,1,1,4,26/4/18 19:17,6.975,1,all_pick,0
27/4/18 02:48,1,fast,27/4/18 02:38,27/4/18 02:58,570,0,1,4,26/4/18 19:17,7.520833333,1,fast,0
27/4/18 03:25,3,fast,27/4/18 03:22,27/4/18 03:25,140,0,1,4,26/4/18 19:17,8.135555556,1,fast,0
27/4/18 03:45,22,other,27/4/18 03:43,27/4/18 03:46,166,0,0,4,26/4/18 19:17,8.481944444,1,no_food,0
19/4/18 19:25,0.051207358,fast,19/4/18 19:23,19/4/18 19:33,75,0,1,4,19/4/18 19:12,0.217222222,1,fast,0
19/4/18 19:26,1,fast,19/4/18 19:23,19/4/18 19:33,167,0,1,4,19/4/18 19:12,0.242777778,1,fast,0
19/4/18 19:27,1,fast,19/4/18 19:23,19/4/18 19:33,230,0,1,4,19/4/18 19:12,0.260277778,1,fast,0
19/4/18 19:32,5,rat,19/4/18 19:23,19/4/18 19:33,547,1,0,4,19/4/18 19:12,0.348333333,1,rat,0
19/4/18 21:33,0.039785341,rat,19/4/18 21:29,19/4/18 21:39,220,1,0,4,19/4/18 19:12,2.360555556,1,rat,0
19/4/18 21:37,176,other,19/4/18 21:29,19/4/18 21:39,457,0,0,4,19/4/18 19:12,2.426388889,1,both,0
19/4/18 21:38,3,pick,19/4/18 21:29,19/4/18 21:39,487,0,1,4,19/4/18 19:12,2.434722222,1,pick,0
19/4/18 21:38,2,rat,19/4/18 21:29,19/4/18 21:39,493,1,0,4,19/4/18 19:12,2.436388889,1,rat,0
19/4/18 22:34,4,rat,19/4/18 22:34,19/4/18 22:43,22,1,0,4,19/4/18 19:12,3.381944444,1,rat,0
19/4/18 22:36,237,other,19/4/18 22:34,19/4/18 22:43,109,0,0,4,19/4/18 19:12,3.406111111,1,both,0
19/4/18 22:42,1,rat,19/4/18 22:34,19/4/18 22:43,472,1,0,4,19/4/18 19:12,3.506944444,1,rat,0
20/4/18 00:03,12,pick,20/4/18 00:00,20/4/18 00:18,185,0,1,4,19/4/18 19:12,4.857222222,1,pick,0
20/4/18 00:02,39,other,20/4/18 00:00,20/4/18 00:18,155,0,0,4,19/4/18 19:12,4.848888889,1,both,0
20/4/18 00:03,14,rat,20/4/18 00:00,20/4/18 00:18,207,1,0,4,19/4/18 19:12,4.863333333,1,rat,0
20/4/18 00:04,5,rat,20/4/18 00:00,20/4/18 00:18,235,1,0,4,19/4/18 19:12,4.871111111,1,rat,0
20/4/18 00:04,0.016181067,rat,20/4/18 00:00,20/4/18 00:18,262,1,0,4,19/4/18 19:12,4.878611111,1,rat,0
20/4/18 00:05,29,rat,20/4/18 00:00,20/4/18 00:18,295,1,0,4,19/4/18 19:12,4.887777778,1,rat_and_bat,0
20/4/18 00:05,3,rat,20/4/18 00:00,20/4/18 00:18,320,1,0,4,19/4/18 19:12,4.894722222,1,rat_and_bat,0
20/4/18 00:06,18,rat,20/4/18 00:00,20/4/18 00:18,341,1,0,4,19/4/18 19:12,4.900555556,1,rat_and_bat,0
20/4/18 00:08,11,rat,20/4/18 00:00,20/4/18 00:18,508,1,0,4,19/4/18 19:12,4.946944444,1,rat,0
20/4/18 00:10,1,fast,20/4/18 00:00,20/4/18 00:18,579,0,1,4,19/4/18 19:12,4.966666667,1,fast,0
20/4/18 00:11,0.093784466,fast,20/4/18 00:00,20/4/18 00:18,673,0,1,4,19/4/18 19:12,4.992777778,1,fast,0
20/4/18 00:11,0.019265878,fast,20/4/18 00:00,20/4/18 00:18,697,0,1,4,19/4/18 19:12,4.999444444,1,fast,0
20/4/18 00:12,1,fast,20/4/18 00:00,20/4/18 00:18,711,0,1,4,19/4/18 19:12,5.003333333,1,fast,0
20/4/18 00:13,6,fast,20/4/18 00:00,20/4/18 00:18,809,0,1,4,19/4/18 19:12,5.030555556,1,fast,0
20/4/18 00:14,10,rat,20/4/18 00:00,20/4/18 00:18,825,1,0,4,19/4/18 19:12,5.035,1,rat,0
20/4/18 00:14,0.058920205,fast,20/4/18 00:00,20/4/18 00:18,863,0,1,4,19/4/18 19:12,5.045555556,1,fast,0
20/4/18 02:00,0.024862202,fast,20/4/18 01:59,20/4/18 02:03,39,0,1,4,19/4/18 19:12,6.802777778,1,fast,0
20/4/18 02:00,1,fast,20/4/18 01:59,20/4/18 02:03,41,0,1,4,19/4/18 19:12,6.803333333,1,fast,0
20/4/18 02:00,10,rat,20/4/18 01:59,20/4/18 02:03,65,1,0,4,19/4/18 19:12,6.81,1,rat,0
20/4/18 02:00,1,fast,20/4/18 01:59,20/4/18 02:03,84,0,1,4,19/4/18 19:12,6.815277778,1,fast,0
